name;description;imageUrl;videoUrl;targetArea;difficultyLevel
Bicycle Crunches;Lie on your back with hands behind your head and legs raised and bent at 90 degrees. Alternately bring your elbow to the opposite knee by twisting your body simulating a cycling motion.;https://hips.hearstapps.com/hmg-prod/images/bicycle-crunch-1548880579.jpg;none;Abs;EASY
Triceps Dips;Sit on the edge of a stable chair or bench. Place hands next to hips. Move your hips off the bench and bend elbows to lower your body. Straighten arms to lift your body back up.;https://www.verywellfit.com/thmb/PoEHcmQe9M8YbZQG1BjdjaJJhaA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/About-2A15-TricepDips-939-5a6b97320e23d90036057538.jpg;none;Triceps;EASY
Side Planks;Lie on your side with legs extended. Prop your body up on your forearm keeping your body in a straight line from head to feet. Hold the position. Repeat on the other side.;https://images.ctfassets.net/hjcv6wdwxsdz/2nnHmIGu7L8rPOWhDZWfy8/3186c231d6c7215d02b43326ab19452a/Woman-on-yoga-mat-doing-side-plank.png?w=1200;none;Abs;MEDIUM
Reverse Lunges;Stand with feet hip-width apart. Step backward with one leg and lower your body until the front thigh is parallel to the floor. The back knee should nearly touch the ground. Return to the starting position and repeat with the other leg.;https://hips.hearstapps.com/hmg-prod/images/reverse-lunge-6400d8afcd348.jpg?resize=980:*;none;Quads;HARD
Wall Sits;Stand with your back against a wall walk your feet forward while sliding your back down the wall until your thighs are parallel to the ground. Hold this position as long as possible.;https://www.shape.com/thmb/ujDPZFY4zjfo-FUa1fJ-J8BT6bg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Wall-Sit-shutterstock_724300495-f9556a7acba2437684962d2ad7d8cc0d.jpg;none;Quads;MEDIUM
Tuck Jumps;Stand with your knees slightly bent then jump up bringing your knees to your chest while in mid-air. Land softly and repeat.;https://hips.hearstapps.com/hmg-prod/images/workouts/2016/05/full-body-burn-20-minutes-no-equipment-composites-tuck-jumps-1462316037.jpg;none;Quads;HARD
High Knees;Run in place while lifting your knees as high as possible aiming for your chest. Pump your arms to increase your heart rate.;https://workouttrends.com/wp-content/uploads/2014/01/How-to-do-High-Knees-1200x900.jpg;none;Cardiovascular;EASY
Arm Circles;Stand with arms extended by the sides perpendicular to your torso. Slowly make circles with your arms starting small and making them larger over time.;https://i.ytimg.com/vi/kgEMWgRWMqI/maxresdefault.jpg;none;Shoulders;EASY
Flutter Kicks;Lie on your back with legs extended. Lift the heels off the floor and rapidly kick up and down in a small fluttering motion.;https://www.lyfta.app/thumbnails/12441201.jpg;none;Abs;EASY
Box Jumps;Stand in front of a sturdy box or platform. Jump onto the box with both feet at the same time and land softly. Step back down and repeat.;https://hips.hearstapps.com/hmg-prod/images/box-jump-1585302208.jpeg;none;Quads;MEDIUM
Flexi-Stretch Strides;March in place while emphasizing high knee lifts and extended toe touches to increase lower limb flexibility.;https://d2lfsu1qnyxzxu.cloudfront.net/cms/senior-runnor-stretch-f_d2.jpg;none;Hip flexors;EASY
Lumbar Loosener;Gentle pelvic tilts performed lying down to alleviate lower back stiffness.;https://images.ctfassets.net/hjcv6wdwxsdz/5EnH5XLsO1188Y6XuBkddd/c7b14d2b4cfd609a15b8d3ee65377e27/Woman-laying-on-her-back-on-top-of-red-yoga-mat-with-gray-background.png?w=1200;none;Lower back;EASY
Rotary Shoulder Openers;Arm circles with incremental radiuses to enhance shoulder joint mobility.;https://cdn-prod.medicalnewstoday.com/content/images/articles/324/324647/man-doing-cross-body-shoulder-stretch-for-arm-warmup.jpg;none;Shoulders;EASY
Balancing Act;Stand on one foot while reaching outward with the opposite hand to improve balance and core stability.;https://images.ctfassets.net/hjcv6wdwxsdz/59s5b5rz6qpIKRaxUBXnQ/e570fdcc4a79422cb9e7d6f8c386bbbd/woman-doing-single-leg-balance-exercises.png?w=1200;none;Balance;MEDIUM
Neck Nodders;Slowly nod head up and down then side to side to relieve tension in the cervical spine.;https://i.ytimg.com/vi/IjicyY_dOKg/hqdefault.jpg;none;Neck;EASY
Pull ups;Pull your straight tense body upwards with a rowing motion until your chest touches the bar.;https://i0.wp.com/post.healthline.com/wp-content/uploads/2019/12/pull-up-pullup-gym-1296x728-header-1296x728.jpg?w=1155&h=1528;none;Lats;HARD
Deadlift;The deadlift is a movement in which your hips hinge backward to lower down and pick up a weighted barbell or kettlebell from the floor;https://hips.hearstapps.com/hmg-prod/images/trap-bar-deadlift-1618411658.jpg;none;Lower back;HARD
Wrist Whirls;Extend arms forward and perform wrist circles to reduce wrist joint strain.;https://samarpanphysioclinic.com/wp-content/uploads/2022/06/a-Flexion-b-Extension-c-Ulnar-deviation-d-Radial-deviation_Q320.jpg;none;Wrists;EASY
Ankle Arcs;Point and flex the feet then rotate ankles to maintain flexibility and reduce the risk of sprains.;https://redmountainfootcare.com/wp-content/uploads/2017/09/Exercise_Ankle_Rotation.png;none;Ankles;EASY
Piriformis Press;Seated stretch where one ankle rests on the opposite knee gently press on the raised knee to stretch the piriformis muscle.;https://www.verywellhealth.com/thmb/jo4zlHii8_LfrV5Cc1zTVYGCBys=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Depositphotos_13398162_original-56a05ed03df78cafdaa14c1b.jpg;none;Glutes;EASY
Gluteal Gallops;Step side to side in a squatting position to strengthen the gluteal muscles.;https://img.livestrong.com/-/media-storage/contentlab-data/3/23/1b11ce019c844f7aaff7777a365e6e9b.jpeg;none;Glutes;MEDIUM
Pectoral Extensions;Interlace fingers behind the back and gently lift hands to stretch chest muscles.;https://i.ytimg.com/vi/EswbusODZ7o/maxresdefault.jpg;none;Chest;EASY
Hamstring Hurdles;Sit with one leg extended reach toward the toes to stretch the hamstring of the straightened leg.;https://storage.googleapis.com/sworkit-assets/images/exercises/standard/middle-frame/seated-hamstring-stretch.jpg;none;Hamstrings;MEDIUM
Quad Stretching;While standing pull one foot toward the buttocks to stretch the quadriceps.;https://www.verywellfit.com/thmb/ZhebQCbptSAeqWEms7TEzve85dY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Verywell-30-2696366-StandingStretch-2106-5993552eb501e800127d38d3.jpg;none;Quads;EASY
Calf raises;Start with both feet on the ground near a wall or bench to hold on to. Lift your heel to go up onto your toes as high as you can.;https://www.mensjournal.com/.image/t_share/MTk2MTM2ODg3NDUzNTU4Mjc3/7-single-leg-calf-raise.jpg;none;Calves;EASY
Hip Helix;Stand and move hips in a circular motion to improve hip joint fluidity;https://blogs.oncolink.org/wp-content/uploads/standing-march.png;none;Hips;EASY
Biceps Curls;Flex your bicep and try to raise the weight to your shoulder.;https://www.verywellfit.com/thmb/plk9oJP3KcuRnBaq8bk3sGrsVjM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/81-3498604-Bicep-arm-curlsGIF2-c7c59f252b1a4ef9b1e181ca05e96084.jpg;none;Biceps;EASY
Side Lying Leg Lifts;Lay on your side and lift your top leg up and hold for 2 seconds.;https://i0.wp.com/images-prod.healthline.com/hlcmsresource/images/topic_centers/2019-1/10899-Benefits_Effectiveness_of_Hip_Abduction_Exercises-1296x728-header.jpg?w=1155&h=1528;none;Abductors;EASY
Copenhagen Side Plank;Top leg stays on the top of a chair. The elbow touches the ground for support. Raise your bottom leg using the top one.;https://i.ytimg.com/vi/1uOkRLSRgqI/maxresdefault.jpg;none;Adductors;EASY
